from_id,to_id
9783,17025
13229,2221
12809,13229
10677,16240
22176,21965
6345,7802
1090,24969
18315,16240
2316,13370
14378,16240
6949,12873
5175,21965
17318,9473
9285,24278
24811,16288
9473,8848
17201,21965
9473,1562
14215,20343
15405,14892
4145,21965
7671,5
11141,21965
790,25450
3350,18955
7094,18293
7136,327
22231,21930
23595,6744
8744,21965
8744,21965
8744,21965
4775,1757
20789,18869
17709,19312
2495,20676
17817,4157
4171,21965
7801,21965
5601,554
22705,21309
19469,532
6272,9775
13222,23187
20560,12379
24479,12379
19447,12379
21649,22564
16220,9820
22687,17662
7135,2723
12620,21965
20029,16405
10732,18872
7397,3485
10802,25133
7208,16239
11124,16398
14993,15408
17740,10527
2027,21965
129,21965
21887,16240
18173,21965
7022,7021
9681,21965
13311,2446
20867,21965
20352,149
20352,16240
14973,16240
13356,21965
22022,23013
23885,23013
17096,23013
1598,16240
18533,21965
21758,12145
22649,22743
21919,6917
22496,13521
22812,21720
21590,19888
22161,18179
22467,25523
23071,15019
23117,15950
23282,21433
21848,23546
23054,13183
22690,775
23423,11641
23128,23546
22345,16665
20576,25187
23302,4735
22114,22097
23081,20117
23113,14688
21792,17715
22471,23639
22918,24350
20176,23905
22533,2837
22225,5759
21891,3654
23330,11437
22488,20391
21573,16806
21618,4689
21797,5384
21903,5287
23225,13433
22507,18412
21228,9899
22166,2567
23175,5854
23391,10613
22075,16261
22379,3895
23209,10704
21947,15138
22501,15876
23102,3255
21784,6907
21550,4662
21645,13411
21755,24430
22445,1077
23422,19019
22094,19603
22866,7973
22954,15219
21693,6823
22258,18701
21295,5476
23257,11521
21808,2510
21814,16142
22582,24177
22177,17473
23053,1745
21662,8440
22742,14070
23358,10713
20335,18172
23376,138
23548,11890
22892,16660
22600,17415
23046,1236
22888,16623
23372,16520
22744,14545
22726,967
21588,18380
23201,23900
20370,25187
21556,17081
20334,20755
21674,22969
8949,9295
3012,7521
16904,18732
8121,7545
6991,19205
19578,6067
19623,21965
3061,2205
3061,21965
8682,16240
2198,21965
22236,16240
2513,21965
12523,21965
9731,21965
11193,17756
25052,21965
500,5525
13362,21725
25277,19668
5193,19067
23156,21965
21542,21965
22898,21965
24210,21965
25431,18955
24787,9736
11850,21965
16988,7343
17617,12211
19905,16240
11417,12211
10984,12211
13190,20345
8656,16240
12211,25116
3056,12211
7024,8297
13159,12211
3303,12211
10648,12379
7925,23310
2019,20996
21001,3793
3813,21965
3528,3792
18973,18325
3317,20792
17032,19812
12024,4960
22730,17267
7397,5792
21362,40
24245,7095
18812,7095
3574,7095
11161,13807
20387,7095
8235,7095
8732,24700
11190,16970
8879,7095
7870,17408
8726,7095
12266,1698
8717,10411
8537,21965
2221,21965
6150,16548
19390,19385
9089,832
4160,25017
7671,5
9252,3776
12822,3889
9060,380
9003,11177
19570,21965
10253,21965
2497,21965
591,16240
21794,21965
10551,21965
19559,21965
22063,21965
7160,21965
21673,21965
15725,16240
18037,16240
4314,20348
24769,21930
3350,21965
16942,21965
19988,21104
15122,3457
4145,7813
22076,3595
3595,21965
17318,20045
24278,2359
4826,25448
22242,10909
23251,21965
22475,11177
5620,18955
8639,25529
8744,21965
4366,16240
2178,832
23736,4196
19468,14544
15345,87
24489,16240
13362,21725
24463,21965
10212,21965
15455,21660
19469,532
18725,21703
12657,17662
17329,24473
1628,20063
4290,17233
11855,6067
8507,21965
7135,2723
3371,1188
11026,20160
17640,15090
17640,17484
17640,9872
17640,15204
17640,4052
17640,9560
17640,15739
17640,8912
17640,25467
17640,4164
17640,23105
17640,22624
17640,6876
17640,22301
17640,7044
15871,4299
13025,3484
13025,22292
13025,17560
13025,15174
13025,21961
13025,14357
13025,22700
13025,13119
13025,5289
13025,16783
13025,11484
13025,1947
13025,9904
13025,2594
13025,8493
13025,11745
13025,15167
13025,1336
478,13863
11793,17349
24212,7161
1628,5
24345,23001
24223,21965
22266,14294
3796,1821
6076,19519
7208,21965
24846,21965
17266,21965
13792,3881
19283,21965
5736,21965
20908,21965
18573,15103
21721,19519
20029,16405
13957,21965
20013,16240
7338,21965
11107,4148
22058,1444
14254,21965
9705,3790
20511,10881
3892,16240
3365,21471
10974,9068
3196,13566
4289,16398
1440,16398
11526,16398
16274,15003
10182,24566
2669,4301
2669,2668
3746,16541
9489,8223
1534,16222
7972,234
3861,17727
15758,12220
9750,18055
4384,18055
22841,3758
21920,11955
21867,3537
21962,18012
14715,18055
5532,11540
22484,4689
25266,14223
23022,1804
10418,18055
3944,20536
2756,2932
19927,18055
22155,16550
12926,15445
21924,22191
24042,15999
22086,3650
2797,11578
23298,5700
12994,12220
18310,14884
3647,4194
20831,7675
14996,22214
17129,25218
22578,4693
22907,12005
21500,5955
3762,24234
21614,16240
18932,1728
15577,24961
9175,21965
23867,21965
18194,915
22168,7866
2311,13991
15257,21965
12692,18620
25026,21965
7697,21965
16848,16240
850,16240
23035,16240
16278,13044
16126,4134
16029,16099
16266,18166
16069,5771
16058,22493
2112,3319
16143,11887
15953,13893
15880,9034
16292,23900
16065,8264
14069,11782
16076,20472
16206,5215
16141,21720
16095,10685
16025,6981
15966,5854
16115,14236
16010,7359
15952,9354
16138,17379
11663,6506
6735,20490
8989,5656
14292,22460
6014,18543
16192,23482
18837,17576
5844,5643
14778,15250
12372,5656
15748,8266
15815,16240
5750,21304
4949,4791
25043,20427
19644,18743
10379,20684
19505,20132
12336,25231
4287,19055
1065,5168
9701,4296
5879,12714
16194,1076
6399,21965
7145,21965
422,8427
13565,21965
16801,21965
5895,21965
6434,21965
23759,21965
7817,21965
462,21965
1749,21965
17342,21965
15780,21965
18722,21965
24548,21965
11002,21965
722,21965
11732,16240
8693,16240
6927,16240
5299,16240
22886,51
7818,21965
23752,21965
22432,21965
7144,21965
13562,21965
17351,21965
18718,21965
11206,16240
2067,21
14237,12287
5127,16240
22460,21965
481,21965
19740,21965
18726,21965
17348,21965
24293,21965
7816,21965
17745,16240
5548,16240
19784,5922
1191,10539
9910,14473
23753,16802
20830,21419
9007,22395
11202,19172
3317,14870
18710,21965
1016,21965
19302,21965
25084,18055
4411,18055
21922,18055
8061,18055
21770,18055
5848,18055
938,18055
19549,18055
5870,5792
16793,10300
23199,23
7885,13753
18249,8026
8026,7678
8026,19519
19379,19385
5845,17373
14155,1691
14879,25133
13903,21025
9791,25133
573,8367
8704,21965
10424,25133
6272,9775
13222,23187
10179,1521
10278,23487
18069,2445
12699,15798
15997,20099
3472,25133
15257,21965
20588,19058
21649,22564
7017,25133
14689,1698
6592,10286
1413,6346
24807,24998
19041,25133
15014,21965
21266,21965
22436,21965
10897,16240
4370,20996
19111,16240
23728,12379
12862,5237
20029,19798
6453,25133
2151,12161
21837,9068
7655,20128
7124,6447
3291,23383
9488,12379
